file,height,width,merge_eps_px,corners_raw,corners_merged
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c150.png,55,61,2,94,70
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c151.png,42,44,2,71,57
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c152.png,25,24,2,18,15
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c153.png,29,45,2,50,43
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c154.png,26,38,2,32,28
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c155.png,27,37,2,27,19
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c156.png,26,30,2,25,18
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c157.png,27,28,2,16,11
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c158.png,62,49,2,84,66
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c159.png,55,44,2,73,66
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c16.png,54,48,2,76,63
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c160.png,54,41,2,72,59
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c161.png,49,38,2,69,49
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c162.png,44,49,2,52,44
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c163.png,51,26,2,55,40
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c164.png,48,19,2,24,21
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c165.png,50,50,2,64,47
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c166.png,38,25,2,40,27
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c167.png,39,31,2,39,33
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c168.png,28,36,2,28,26
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c169.png,30,26,2,16,14
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c17.png,48,40,2,55,46
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c170.png,26,25,2,20,16
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c171.png,26,38,2,33,27
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c172.png,31,21,2,26,19
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c173.png,25,36,2,30,23
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c174.png,50,25,2,45,34
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c175.png,29,31,2,29,21
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c176.png,20,36,2,21,19
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c177.png,36,24,2,32,20
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c178.png,64,42,2,81,63
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c179.png,49,51,2,88,72
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c18.png,28,20,2,19,15
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c181.png,45,20,2,29,25
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c182.png,48,53,2,72,57
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c183.png,45,42,2,68,50
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c184.png,48,51,2,80,64
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c185.png,40,49,2,56,46
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c186.png,40,48,2,59,40
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c187.png,37,26,2,23,20
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c188.png,43,27,2,42,33
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c189.png,36,27,2,36,29
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c19.png,32,36,2,37,25
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c190.png,42,49,2,72,61
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c191.png,36,25,2,34,27
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c192.png,33,39,2,38,30
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c193.png,38,50,2,57,47
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c194.png,31,44,2,46,38
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c195.png,31,30,2,26,17
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c196.png,32,42,2,32,28
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c198.png,72,45,2,101,77
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c199.png,54,32,2,51,38
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c2.png,56,28,2,51,48
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c20.png,37,37,2,34,23
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c200.png,48,36,2,65,38
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c201.png,55,51,2,88,66
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c203.png,55,51,2,89,72
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c204.png,50,51,2,75,55
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c205.png,57,37,2,78,60
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c206.png,50,52,2,89,68
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c208.png,36,54,2,39,32
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c209.png,48,40,2,72,56
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c21.png,40,50,2,54,37
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c210.png,37,53,2,53,47
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c211.png,30,25,2,22,17
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c212.png,26,21,2,8,8
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c213.png,24,24,2,23,18
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c214.png,53,30,2,66,55
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c215.png,50,38,2,53,42
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c216.png,49,48,2,80,68
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c217.png,50,57,2,82,67
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c218.png,38,28,2,42,30
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c219.png,40,33,2,41,29
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c22.png,48,43,2,52,40
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c220.png,45,41,2,59,47
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c221.png,45,40,2,57,51
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c222.png,24,42,2,23,19
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c223.png,33,30,2,25,18
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c224.png,54,43,2,45,39
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c225.png,26,27,2,13,9
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c226.png,25,19,2,18,12
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c227.png,51,52,2,71,56
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c228.png,51,36,2,62,49
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c229.png,42,30,2,45,34
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c23.png,32,21,2,18,15
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c230.png,51,39,2,55,37
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c231.png,44,49,2,76,49
